RADZIHOVSKY, L,TONER, J
BARTHELEMY, M,PELLEGRINI, YP
BARTHELEMY, M,PERRIN, G
BARTHELEMY, M,PELLEGRINI, Y
COUTINHO, S,CAMELONETO, G
COUTINHO, S,JR, EN
COUTINHO, S,NOBRE, FD
COUTINHO, S,ALMEIDA, JRLD
LONGA, L,OLIVEIRA, FA
OLIVEIRA, FA,YUKALOV, VI
OLIVEIRA, FA,YUKALOVA, EP
JR, EN,NOBRE, FD
JR, EN,ALMEIDA, JRLD
NOBRE, FD,ALMEIDA, JRLD
RUTENBERG, AD,ZAPOTOCKY, M
RUTENBERG, AD,ROJAS, F
RUTENBERG, AD,SZETO, KY
RUTENBERG, AD,TAM, WY
RUTENBERG, AD,ZAKRZEWSKI, WJ
RUTENBERG, AD,YEUNG, C
RUTENBERG, AD,VOLLMAYRLEE, BP
ZAPOTOCKY, M,ZAKRZEWSKI, W
ZAPOTOCKY, M,ZAKRZEWSKI, WJ
ROJAS, F,BRAY, AJ
ROJAS, F,PURI, S
SZETO, KY,ASTE, T
SZETO, KY,TAM, WY
SZETO, KY,VOLLMAYRLEE, BP
TAM, WY,ASTE, T
TAM, WY,VOLLMAYRLEE, BP
ARONOV, AG,KRAVTSOV, VE
ARONOV, AG,LERNER, IV
ARONOV, AG,ENTINWOHLMAN, O
ARONOV, AG,LEVINSON, Y
ARONOV, AG,IMRY, Y
KRAVTSOV, VE,LERNER, IV
KRAVTSOV, VE,YURKEVICH, IV
KRAVTSOV, VE,CANALI, CM
KRAVTSOV, VE,KANZIEPER, E
KRAVTSOV, VE,MUTTALIB, KA
KRAVTSOV, VE,CHALKER, JT
KRAVTSOV, VE,BASU, C
KRAVTSOV, VE,STEPHAN, W
KRAVTSOV, VE,YUDSON, VI
KRAVTSOV, VE,SKVORTSOV, MA
LERNER, IV,YURKEVICH, IV
LERNER, IV,NIEUWENHUIZEN, TM
LERNER, IV,ROSSUM, MCWV
LERNER, IV,CHALKER, JT
LERNER, IV,SMITH, RA
LERNER, IV,MCCANN, E
LERNER, IV,WHITNEY, RS
ENTINWOHLMAN, O,YILDIRIM, T
ENTINWOHLMAN, O,AHARONY, A
ENTINWOHLMAN, O,LEVINSON, Y
ENTINWOHLMAN, O,IMRY, Y
ENTINWOHLMAN, O,GALPERIN, Y
ENTINWOHLMAN, O,MIRLIN, AD
ENTINWOHLMAN, O,WOELFLE, P
ENTINWOHLMAN, O,CHEREPANOV, V
ENTINWOHLMAN, O,KNAEBCHEN, A
ENTINWOHLMAN, O,TORNOW, S
ENTINWOHLMAN, O,KORENBLIT, IY
LEVINSON, Y,AHARONY, A
LEVINSON, Y,IMRY, Y
LEVINSON, Y,GALPERIN, Y
LEVINSON, Y,MIRLIN, AD
LEVINSON, Y,WOELFLE, P
LEVINSON, Y,KNAEBCHEN, A
LEVINSON, Y,ROKNI, M
LEVINSON, Y,SCHECHTER, M
LEVINSON, Y,TSITSISHVILI, E
LEVINSON, Y,DICKMANN, S
LEVINSON, Y,ENTINWOHLMAN, AAO
IMRY, Y,MELLO, PA
IMRY, Y,WEINMANN, D
IMRY, Y,AHARONY, A
IMRY, Y,PICHARD, J
IMRY, Y,SCHWAB, P
IMRY, Y,SHAPIRO, B
IMRY, Y,COHEN, D
IMRY, Y,SCHECHTER, M
IMRY, Y,ENTINWOHLMAN, AAO
YURKEVICH, IV,FREILIKHER, VD
YURKEVICH, IV,MARADUDIN, AA
YURKEVICH, IV,MCGURN, AR
YURKEVICH, IV,LIANSKY, BA
YURKEVICH, IV,CANALI, CM
YURKEVICH, IV,BASU, C
CANALI, CM,GORELIK, LY
CANALI, CM,SHEKHTER, RI
CANALI, CM,JONSON, M
CANALI, CM,BASU, C
CANALI, CM,STEPHAN, W
KANZIEPER, E,FREILIKHER, V
KANZIEPER, E,YURKEVICH, I
KANZIEPER, E,AKEMANN, G
MUTTALIB, KA,WOLFLE, P
MUTTALIB, KA,WOELFLE, P
MUTTALIB, KA,ISMAIL, MEH
MUTTALIB, KA,KLAUDER, JR
MUTTALIB, KA,PILLA, S
MUTTALIB, KA,HAMIDA, JA
MUTTALIB, KA,SULLIVAN, NS
CHALKER, JT,WANG, Z
CHALKER, JT,AVISHAI, Y
CHALKER, JT,DOHMEN, A
CHALKER, JT,HO, CM
CHALKER, JT,SMITH, RA
CHALKER, JT,MOESSNER, R
CHALKER, JT,KAGALOVSKY, V
CHALKER, JT,HOROVITZ, B
CHALKER, JT,WANG, ZJ
CHALKER, JT,MEHLIG, B
CHALKER, JT,PALMER, SE
BASU, C,STEPHAN, W
STEPHAN, W,GORELIK, LY
STEPHAN, W,SHEKHTER, RI
STEPHAN, W,JONSON, M
STEPHAN, W,GRILLI, M
STEPHAN, W,CAPONE, M
STEPHAN, W,GOLDEN, MS
STEPHAN, W,NEUDERT, R
STEPHAN, W,KNUPFER, M
STEPHAN, W,FINK, J
STEPHAN, W,SOUTHERN, BW
NIEUWENHUIZEN, TM,SHERRINGTON, D
NIEUWENHUIZEN, TM,AMIC, E
NIEUWENHUIZEN, TM,LUCK, JM
NIEUWENHUIZEN, TM,AMSTERDAM, UO
NIEUWENHUIZEN, TM,ROSSUM, MCWV
NIEUWENHUIZEN, TM,SAAKIAN, DB
NIEUWENHUIZEN, TM,TIGGELEN, BAV
NIEUWENHUIZEN, TM,MAYNARD, R
NIEUWENHUIZEN, TM,MOSK, A
NIEUWENHUIZEN, TM,DUIN, CNAV
NIEUWENHUIZEN, TM,GEVORKIAN, ZS
NIEUWENHUIZEN, TM,ALLAHVERDYAN, AE
NIEUWENHUIZEN, TM,HERTZ, JA
SMITH, RA,WILKIN, NK
SMITH, RA,GUNN, JMF
SMITH, RA,AMBEGAOKAR, V
SMITH, RA,WHITNEY, RS
SMITH, RA,HANDY, BS
MCCANN, E,FALKO, VI
MCCANN, E,LAMBERT, CJ
MCCANN, E,SCHMIDT, T
MCCANN, E,HAUG, RJ
MCCANN, E,VOLKOV, AF
MCCANN, E,RICHTER, K
MCCANN, E,KONIG, P
GOULIAN, M,MILNER, ST
MILNER, ST,GREST, GS
MILNER, ST,OLMSTED, PD
MILNER, ST,MONDELLO, M
MILNER, ST,III, EBW
MILNER, ST,PECZAK, P
GREST, GS,STEVENS, MJ
GREST, GS,THOMPSON, PA
GREST, GS,ROBBINS, MO
GREST, GS,KAMIEN, RD
GREST, GS,SIDES, SW
GREST, GS,WITTEN, TA
GREST, GS,BALJON, ARC
GREST, GS,LACASSE, M
GREST, GS,LEVINE, D
GREST, GS,MASON, TG
GREST, GS,WEITZ, DA
GREST, GS,KREMER, K
GREST, GS,MURAT, M
GREST, GS,LEVINE, AJ
GREST, GS,MONDELLO, M
GREST, GS,III, EBW
GREST, GS,PECZAK, P
GREST, GS,EVERAERS, R
GREST, GS,PUETZ, M
OLMSTED, PD,MACKINTOSH, FC
OLMSTED, PD,TERENTJEV, EM
OLMSTED, PD,POON, WCK
OLMSTED, PD,LU, CYD
OLMSTED, PD,GITTES, F
OLMSTED, PD,SCHNURR, B
OLMSTED, PD,SCHMIDT, CF
OLMSTED, PD,RADULESCU, O
OLMSTED, PD,MCLEISH, TCB
OLMSTED, PD,TERRILL, NJ
OLMSTED, PD,RYAN, AJ
OLMSTED, PD,HAMLEY, IW
OLMSTED, PD,BALL, RC
OLMSTED, PD,LU, CD
MONDELLO, M,III, EBW
MONDELLO, M,PECZAK, P
III, EBW,PECZAK, P
DOUSSAL, PL,GIAMARCHI, T
DOUSSAL, PL,VINOKUR, VM
DOUSSAL, PL,WIESE, KJ
DOUSSAL, PL,ORIGNAC, E
DOUSSAL, PL,CHITRA, R
DOUSSAL, PL,FISHER, DS
DOUSSAL, PL,KOSHELEV, AE
DOUSSAL, PL,LALOUX, L
DOUSSAL, PL,CARPENTIER, D
DOUSSAL, PL,HOROVITZ, B
DOUSSAL, PL,FISHER, D
DOUSSAL, PL,CHAUVE, P
SELLITTO, M,NICODEMI, M
FOURNIER, JB,GALATOLA, P
FOURNIER, JB,DOMMERSNES, PG
FOURNIER, JB,BARTOLO, D
FOURNIER, JB,LONG, D
HONG, J,KEE, H
HONG, J,PARK, M
HONG, J,JI, J
HONG, J,KIM, H
KEE, H,ABRAHAMS, E
KEE, H,BHATT, RN
KEE, H,MAKI, K
KEE, H,VARMA, CM
PARK, M,LEE, MH
PARK, M,KIM, Y
PARK, M,SAVRAN, K
JI, J,KIM, H
KIM, H,KIM, B
KIM, H,KIM, YC
KIM, H,SCHMIDBAUER, W
KIM, H,HODBY, JW
ABRAHAMS, E,SCALAPINO, DJ
ABRAHAMS, E,SCHRIEFFER, JR
ABRAHAMS, E,BHATT, RN
ABRAHAMS, E,YIN, L
ABRAHAMS, E,VARMA, CM
ABRAHAMS, E,MIRANDA, E
ABRAHAMS, E,DOBROSAVLJEVIC, V
BHATT, RN,HUSE, DA
BHATT, RN,KRAVCHENKO, SV
BHATT, RN,HYMAN, RA
BHATT, RN,SHAHAR, D
BHATT, RN,GUO, M
BHATT, RN,SIMONIAN, D
BHATT, RN,SARACHIK, MP
BHATT, RN,BOGDANOVICH, S
BHATT, RN,WAN, X
MAKI, K,SHIRAISHI, J
MAKI, K,MORITA, Y
MAKI, K,VIROSZTEK, A
MAKI, K,KATO, M
MAKI, K,YANG, G
MAKI, K,WON, H
MAKI, K,JANG, H
MAKI, K,DORA, B
VARMA, CM,NG, TK
VARMA, CM,SI, Q
VARMA, CM,SIMON, ME
CASULLERAS, J,BORONAT, J
CASULLERAS, J,DALFOVO, F
CASULLERAS, J,MORONI, S
CASULLERAS, J,STRINGARI, S
CASULLERAS, J,GIORGINI, S
CASULLERAS, J,MARIN, JM
CASULLERAS, J,GORDILLO, MC
BORONAT, J,DALFOVO, F
BORONAT, J,MORONI, S
BORONAT, J,STRINGARI, S
BORONAT, J,GIORGINI, S
BORONAT, J,MAZZANTI, F
BORONAT, J,POLLS, A
BORONAT, J,FABROCINI, A
BORONAT, J,MARIN, JM
BORONAT, J,GORDILLO, MC
DALFOVO, F,MORONI, S
DALFOVO, F,STRINGARI, S
DALFOVO, F,CASAS, M
DALFOVO, F,LASTRI, A
DALFOVO, F,SERRA, L
DALFOVO, F,FRACCHETTI, A
DALFOVO, F,PITAEVSKI, L
DALFOVO, F,GIORGINI, S
DALFOVO, F,PITAEVSKII, L
DALFOVO, F,PITAEVSKII, LP
DALFOVO, F,GUILLEUMAS, M
DALFOVO, F,BARRANCO, M
DALFOVO, F,PI, M
DALFOVO, F,MINNITI, C
DALFOVO, F,CORNELL, EA
DALFOVO, F,HARMS, J
DALFOVO, F,TOENNIES, JP
DALFOVO, F,MATTHEWS, MR
DALFOVO, F,HALL, DS
DALFOVO, F,JIN, DS
DALFOVO, F,ENSHER, JR
DALFOVO, F,WIEMAN, CE
DALFOVO, F,MAYOL, R
DALFOVO, F,MODUGNO, M
DALFOVO, F,CALLEGARI, C
DALFOVO, F,CONJUSTEAU, A
DALFOVO, F,REINHARD, I
DALFOVO, F,LEHMANN, KK
DALFOVO, F,SCOLES, G
MORONI, S,STRINGARI, S
MORONI, S,LIKOS, CN
MORONI, S,BARONI, S
MORONI, S,SENATORE, G
MORONI, S,FANTONI, S
MORONI, S,STAN, G
MORONI, S,COLE, MW
MORONI, S,CRESPI, VH
MORONI, S,BONINSEGNI, M
MORONI, S,HARTMAN, JM
STRINGARI, S,CASAS, M
STRINGARI, S,LASTRI, A
STRINGARI, S,SERRA, L
STRINGARI, S,FRACCHETTI, A
STRINGARI, S,PITAEVSKI, L
STRINGARI, S,GIORGINI, S
STRINGARI, S,GRIFFIN, A
STRINGARI, S,VICHI, L
STRINGARI, S,PITAEVSKII, L
STRINGARI, S,PITAEVSKII, LP
STRINGARI, S,WU, W
STRINGARI, S,GUILLEUMAS, M
STRINGARI, S,MINNITI, C
STRINGARI, S,MINGUZZI, A
STRINGARI, S,TOSI, MP
STRINGARI, S,CORNELL, EA
STRINGARI, S,STAMPERKURN, DM
STRINGARI, S,MATTHEWS, MR
STRINGARI, S,HALL, DS
STRINGARI, S,JIN, DS
STRINGARI, S,ENSHER, JR
STRINGARI, S,WIEMAN, CE
STRINGARI, S,ZAMBELLI, F
STRINGARI, S,DALIBARD, J
STRINGARI, S,INGUSCIO, M
STRINGARI, S,TINO, GM
STRINGARI, S,AMORUSO, M
STRINGARI, S,GUERYODELIN, D
GIORGINI, S,PITAEVSKII, L
GIORGINI, S,PITAEVSKII, LP
GIORGINI, S,GUILLEUMAS, M
MAZZANTI, F,POLLS, A
MAZZANTI, F,FABROCINI, A
MAZZANTI, F,VICHI, L
MAZZANTI, F,RINAT, AS
MAZZANTI, F,TARAGIN, MF
POLLS, A,FABROCINI, A
POLLS, A,VICHI, L
POLLS, A,RINAT, AS
POLLS, A,TARAGIN, MF
FABROCINI, A,VICHI, L
STOLZE, J,NOPPERT, A
STOLZE, J,MULLER, G
STOLZE, J,FABRICIUS, K
STOLZE, J,LOW, U
STOLZE, J,KARBACH, M
STOLZE, J,RODER, H
STOLZE, J,SILVER, RN
STOLZE, J,VOGEL, M
NOPPERT, A,MULLER, G
MULLER, G,MUTTER, KH
MULLER, G,FLEDDERJOHANN, A
MULLER, G,KARBACH, M
MULLER, G,VISWANATH, VS
MULLER, G,BOUGOURZI, AH
MULLER, G,STEPANOV, VV
MULLER, G,HU, K
FABRICIUS, K,LOW, U
FABRICIUS, K,MUTTER, KH
FABRICIUS, K,KLUMPER, A
FABRICIUS, K,DEGUCHI, T
FABRICIUS, K,LORENZ, T
FABRICIUS, K,BUCHNER, B
FABRICIUS, K,MCCOY, BM
LOW, U,MUTTER, KH
LOW, U,KLUMPER, A
LOW, U,LORENZ, T
LOW, U,BUCHNER, B
LOW, U,SCHMIDT, S
LOW, U,WOLF, B
LOW, U,SIELING, M
LOW, U,ZVYAGIN, S
LOW, U,KUHNE, RW
KARBACH, M,MUTTER, KH
KARBACH, M,FLEDDERJOHANN, A
KARBACH, M,MUTTER, K
KARBACH, M,WIELATH, P
KARBACH, M,GERHARDT, C
KARBACH, M,SCHMITT, A
KARBACH, M,BOUGOURZI, AH
KARBACH, M,YANG, MS
KARBACH, M,AUDET, JF
KARBACH, M,KROGER, H
KARBACH, M,MUETTER, K
KARBACH, M,MUELLER, G
KARBACH, M,HU, K
KARBACH, M,WIESSNER, RM
KARBACH, M,MUETTER, KH
RODER, H,TRUGMAN, SA
RODER, H,HEFFNER, RH
RODER, H,ZANG, J
RODER, H,SILVER, RN
RODER, H,WELLEIN, G
RODER, H,FEHSKE, H
RODER, H,CHEONG, S
RODER, H,NIEUWENHUYS, GJ
RODER, H,SONIER, JE
RODER, H,MACLAUGHLIN, DE
RODER, H,DIMITROV, DA
RODER, H,LOUCA, D
RODER, H,GARDNER, JS
RODER, H,EHLERS, G
RODER, H,MEZEI, F
SILVER, RN,WELLEIN, G
SILVER, RN,FEHSKE, H
SILVER, RN,WANG, WZ
SILVER, RN,GAMMEL, JT
SILVER, RN,BAUML, B
MUTTER, KH,FLEDDERJOHANN, A
MUTTER, KH,GERHARDT, C
MUTTER, KH,SCHMITT, A
MUTTER, KH,YANG, MS
MUTTER, KH,AUDET, JF
MUTTER, KH,KROGER, H
MUTTER, KH,AYSAL, E
FLEDDERJOHANN, A,MUTTER, K
FLEDDERJOHANN, A,WIELATH, P
FLEDDERJOHANN, A,GROS, C
FLEDDERJOHANN, A,WENZEL, W
FLEDDERJOHANN, A,GERHARDT, C
FLEDDERJOHANN, A,SCHMITT, A
FLEDDERJOHANN, A,YANG, MS
FLEDDERJOHANN, A,AUDET, JF
FLEDDERJOHANN, A,KROGER, H
FLEDDERJOHANN, A,AYSAL, E
FLEDDERJOHANN, A,WIESSNER, RM
FLEDDERJOHANN, A,MUETTER, KH
BOUGOURZI, AH,COUTURE, M
BOUGOURZI, AH,KACIR, M
BOUGOURZI, AH,ABADA, A
BOUGOURZI, AH,SILAKHAL, B
BOUGOURZI, AH,SEBA, S
GOLDHABER, AS,JAIN, JK
JAIN, JK,LIU, DZ
JAIN, JK,WU, XG
JAIN, JK,XIE, XC
JAIN, JK,RAO, S
JAIN, JK,MURTHY, G
JAIN, JK,SHANKAR, R
JAIN, JK,MELIKALAVERDIAN, V
JAIN, JK,KAMILLA, RK
JAIN, JK,PARK, K
JAIN, JK,MESKINI, N
JAIN, JK,SCAROLA, VW
JAIN, JK,ZU, X
LIU, DZ,LEVIN, K
LIU, DZ,MALY, J
LIU, DZ,NIU, Q
LIU, DZ,ZHA, Y
LIU, DZ,XIE, XC
WU, XG,KAMILLA, RK
XIE, XC,NIU, Q
XIE, XC,SHEN, SQ
XIE, XC,HE, S
XIE, XC,STOKBRO, K
XIE, XC,WANG, XR
XIE, XC,THIRSTRUP, C
XIE, XC,SHI, J
XIE, XC,MA, SC
XIE, XC,SMOLYANINOVA, VN
XIE, XC,WONG, CY
RAO, S,GHOSH, RK
RAO, S,SEN, D
RAO, S,MOHANTY, PK
RAO, S,DURGANANDINI, P
MURTHY, G,AUERBACH, A
MURTHY, G,SHANKAR, R
MURTHY, G,AROVAS, D
MURTHY, G,PARK, K
SHANKAR, R,MARTINDELGADO, MA
SHANKAR, R,MURTHY, MVN
SHANKAR, R,WITTE, NS
SHANKAR, R,RAO, M
SHANKAR, R,SENGUPTA, S
SHANKAR, R,SHUBASHREE, D
SHANKAR, R,PARK, K
SHANKAR, R,CHAKRABORTY, T
SHANKAR, R,PIETILAINEN, P
MELIKALAVERDIAN, V,NIGHTINGALE, MP
MELIKALAVERDIAN, V,ORTIZ, G
MELIKALAVERDIAN, V,PARK, K
PARK, K,HUSE, DA
PARK, K,KAHNG, B
PARK, K,STONE, M
PARK, K,GARG, A
PARK, K,PARK, J
PARK, K,SALK, SS
PARK, K,HONG, S
PARK, K,AHN, S
PARK, K,HONG, H
PARK, K,YOON, BG
PARK, K,SOH, KS
PARK, K,MESKINI, N
PARK, K,SCAROLA, VW
PARK, K,ZU, X
FISCHER, W,LESCHKE, H
FISCHER, W,MUELLER, P
LESCHKE, H,MUELLER, P
LESCHKE, H,BRODERIX, K
LESCHKE, H,HUNDERTMARK, D
LESCHKE, H,KIRSCH, W
LESCHKE, H,BOHM, M
LESCHKE, H,JUNKER, G
LESCHKE, H,KARL, H
MUELLER, P,BRODERIX, K
MUELLER, P,ENDRES, H
MUELLER, P,ZIPPELIUS, A
MUELLER, P,KELLER, J
MUELLER, P,FORSTHOFER, F
MUELLER, P,HELM, C
MUELLER, P,PREIS, C
MUELLER, P,SCHLENGA, K
MUELLER, P,KLEINER, R
MUELLER, P,SCHMITT, O
MUELLER, P,LOEWE, H
BRODERIX, K,HUNDERTMARK, D
BRODERIX, K,KIRSCH, W
BRODERIX, K,KREE, R
BRODERIX, K,OTTINGEN, RK
BRODERIX, K,BOHM, M
BRODERIX, K,ZIPPELIUS, A
BRODERIX, K,BHATTACHARYA, KK
BRODERIX, K,LOEWE, H
HUNDERTMARK, D,KIRSCH, W
HUNDERTMARK, D,AIZENMAN, M
HUNDERTMARK, D,SCHENKER, JH
HUNDERTMARK, D,FRIEDRICH, RM
BOHM, M,KROMPIEWSKI, S
BOHM, M,KREY, U
BOHM, M,GEBELE, O
JUNKER, G,KARL, H
JUNKER, G,MATTHIESEN, S
JUNKER, G,INOMATA, A
JUNKER, G,HORMESS, M
ENDRES, H,SCALAPINO, DJ
ENDRES, H,NOACK, RM
ENDRES, H,ASSAAD, FF
ENDRES, H,ZIEGLER, W
ENDRES, H,CAPPONI, S
ENDRES, H,EVERTZ, HG
ENDRES, H,KLEINER, R
ENDRES, H,SCHMITT, O
ZIPPELIUS, A,KOB, W
ZIPPELIUS, A,HENLEY, CL
ZIPPELIUS, A,KREE, R
ZIPPELIUS, A,BINDER, K
ZIPPELIUS, A,WENGEL, C
ZIPPELIUS, A,GIESE, G
ZIPPELIUS, A,LUDING, S
ZIPPELIUS, A,MCNAMARA, S
ZIPPELIUS, A,GERL, F
ZIPPELIUS, A,ASPELMEIER, T
ZIPPELIUS, A,BHATTACHARYA, KK
ZIPPELIUS, A,HUTHMANN, M
ZIPPELIUS, A,PENG, W
ZIPPELIUS, A,LOEWE, H
ZIPPELIUS, A,HERBST, O
ZIPPELIUS, A,VOLLMAYRLEE, K
KELLER, J,JARRELL, M
KELLER, J,OBERMEIER, T
KELLER, J,FORSTHOFER, F
KELLER, J,KIND, S
KELLER, J,QIN, Q
KELLER, J,HELM, C
KELLER, J,PREIS, C
KELLER, J,SCHLENGA, K
KELLER, J,KLEINER, R
KELLER, J,POTERYAEV, AI
KELLER, J,MAIER, T
KELLER, J,ZOELFL, MB
KELLER, J,SERGEEV, A
KELLER, J,WALTER, C
KELLER, J,NEKRASOV, IA
KELLER, J,SCHMALZL, K
FORSTHOFER, F,KIND, S
FORSTHOFER, F,HELM, C
FORSTHOFER, F,PREIS, C
FORSTHOFER, F,SCHLENGA, K
FORSTHOFER, F,KLEINER, R
FORSTHOFER, F,NER, JK
FORSTHOFER, F,OF, PMU
HELM, C,PREIS, C
HELM, C,SCHLENGA, K
HELM, C,KLEINER, R
HELM, C,NER, JK
HELM, C,OF, PMU
HELM, C,SERGEEV, A
HELM, C,GEIGER, H
HELM, C,OBERMAIR, G
HELM, C,WALTER, C
HELM, C,SCHMALZL, K
HELM, C,ODAGAWA, A
HELM, C,SAKAI, M
HELM, C,ADACHI, H
HELM, C,SETSUNE, K
PREIS, C,SCHLENGA, K
PREIS, C,KLEINER, R
PREIS, C,NER, JK
PREIS, C,OF, PMU
PREIS, C,SERGEEV, A
PREIS, C,WALTER, C
PREIS, C,SCHMALZL, K
SCHLENGA, K,KLEINER, R
KLEINER, R,SCHMITT, O
KLEINER, R,SERGEEV, A
ZECCHINA, R,MARSILI, M
ZECCHINA, R,REGGE, T
ZECCHINA, R,COCCO, S
ZECCHINA, R,CHALLET, D
ZECCHINA, R,KIRKPATRICK, S
ZECCHINA, R,SELMAN, B
ZECCHINA, R,TROYANSKY, L
WEIGT, M,ENGEL, A
WEIGT, M,BERG, J
WEIGT, M,BIROLI, G
WEIGT, M,HARTMANN, A
POULIQUEN, O,LUDING, S
POULIQUEN, O,NICOLAS, M
KIRKPATRICK, S,SELMAN, B
KIRKPATRICK, S,TROYANSKY, L
SELMAN, B,TROYANSKY, L
MARSILI, M,BRAY, AJ
MARSILI, M,PIETRONERO, L
MARSILI, M,VESPIGNANI, A
MARSILI, M,ZHANG, Y
MARSILI, M,TOIGO, F
MARSILI, M,CASTELLANO, C
MARSILI, M,VALLERIANI, A
MARSILI, M,RIOS, PDL
MARSILI, M,MASLOV, S
MARSILI, M,VENDRUSCOLO, M
MARSILI, M,ZHANG, YC
MARSILI, M,MUNOZ, MA
MARSILI, M,DZIERZAWA, M
MARSILI, M,CALDARELLI, G
MARSILI, M,CAFIERO, R
MARSILI, M,GABRIELLI, A
MARSILI, M,OMERO, MJ
MARSILI, M,CHALLET, D
MARSILI, M,BIANCONI, G
CHALLET, D,ZHANG, Y
SHIBA, H,HALLBERG, K
SHIBA, H,TSUKAGOSHI, T
ALBRECHT, M,PAULUS, B
ALBRECHT, M,STOLL, H
ALBRECHT, M,DOLG, M
ALBRECHT, M,MILLET, P
ALBRECHT, M,BONVOISIN, J
ALBRECHT, M,SATTO, C
HALLBERG, K,HORSCH, P
HALLBERG, K,BATISTA, CD
HALLBERG, K,ALIGIA, AA
HALLBERG, K,MOREO, A
HALLBERG, K,AVIGNON, M
HALLBERG, K,ORTIZ, G
HALLBERG, K,ARRACHEA, L
HALLBERG, K,GAGLIANO, E
HALLBERG, K,WANG, XQG
HALLBERG, K,ALASCIO, B
HALLBERG, K,DRECHSLER, SL
HALLBERG, K,MALEK, J
HALLBERG, K,PAASCH, G
HALLBERG, K,GARCIA, DJ
HALLBERG, K,PAYEN, C
HALLBERG, K,JANOD, E
HALLBERG, K,SCHOUMACKER, K
MILLET, P,BONVOISIN, J
MILLET, P,REVCOLEVSCHI, A
MILLET, P,AUGIER, D
MILLET, P,OOSTEN, ABV
MILLET, P,SMIRNOV, D
MILLET, P,LEOTIN, J
MILLET, P,HANSEN, P
MILLET, P,SATTO, C
MILLET, P,JEGOUDEZ, J
MILLET, P,MAMBRINI, M
MILLET, P,SULPICE, A
MILLET, P,STEPANOV, A
MILLET, P,PASHCHENKO, VA
BONVOISIN, J,SATTO, C
LACAZE, R,MOREL, A
LACAZE, R,PETERSSON, B
LACAZE, R,SCHROPER, J
GOLDEN, MS,HIEN, NT
GOLDEN, MS,MENOVSKY, AA
GOLDEN, MS,HAYN, R
GOLDEN, MS,MAITI, K
GOLDEN, MS,SINGH, DJ
GOLDEN, MS,ROSNER, H
GOLDEN, MS,ESCHRIG, H
GOLDEN, MS,YUSHANKHAI, VY
GOLDEN, MS,BOSKE, T
GOLDEN, MS,KNAUFF, O
GOLDEN, MS,RUCK, K
GOLDEN, MS,KRABBES, G
GOLDEN, MS,OSAFUNE, JFT
GOLDEN, MS,ANTONOV, VN
GOLDEN, MS,NEUDERT, R
GOLDEN, MS,KNUPFER, M
GOLDEN, MS,FINK, J
GOLDEN, MS,YANG, G
GOLDEN, MS,HAFFNER, S
GOLDEN, MS,DURR, C
GOLDEN, MS,JUNG, C
GOLDEN, MS,REICHARDT, G
GOLDEN, MS,YARESKO, AN
GOLDEN, MS,HORN, S
GOLDEN, MS,ZAMBONI, R
GOLDEN, MS,TALIANI, C
GOLDEN, MS,PICHLER, T
GOLDEN, MS,MURGIA, M
GOLDEN, MS,MICHEL, RH
GOLDEN, MS,BORISENKO, SV
GOLDEN, MS,LEGNER, S
GOLDEN, MS,DUERR, C
GOLDEN, MS,ABELL, S
GOLDEN, MS,JANOWITZ, C
GOLDEN, MS,ATZKERN, S
GOLDEN, MS,KLEMM, M
NEUDERT, R,KNUPFER, M
NEUDERT, R,FINK, J
KNUPFER, M,HIEN, NT
KNUPFER, M,MENOVSKY, AA
KNUPFER, M,HAYN, R
KNUPFER, M,SINGH, DJ
KNUPFER, M,ROSNER, H
KNUPFER, M,ESCHRIG, H
KNUPFER, M,YUSHANKHAI, VY
KNUPFER, M,KRABBES, G
KNUPFER, M,ANTONOV, VN
KNUPFER, M,FINK, J
KNUPFER, M,YANG, G
KNUPFER, M,HAFFNER, S
KNUPFER, M,DURR, C
KNUPFER, M,JUNG, C
KNUPFER, M,REICHARDT, G
KNUPFER, M,YARESKO, AN
KNUPFER, M,HORN, S
KNUPFER, M,ZAMBONI, R
KNUPFER, M,TALIANI, C
KNUPFER, M,PICHLER, T
KNUPFER, M,MURGIA, M
KNUPFER, M,MICHEL, RH
KNUPFER, M,BORISENKO, SV
KNUPFER, M,LEGNER, S
KNUPFER, M,DUERR, C
KNUPFER, M,ABELL, S
KNUPFER, M,JANOWITZ, C
KNUPFER, M,ATZKERN, S
KNUPFER, M,KLEMM, M
FINK, J,HIEN, NT
FINK, J,MENOVSKY, AA
FINK, J,HAYN, R
FINK, J,SINGH, DJ
FINK, J,ROSNER, H
FINK, J,ESCHRIG, H
FINK, J,YUSHANKHAI, VY
FINK, J,KRABBES, G
FINK, J,ANTONOV, VN
FINK, J,YANG, G
FINK, J,HAFFNER, S
FINK, J,DURR, C
FINK, J,JUNG, C
FINK, J,REICHARDT, G
FINK, J,YARESKO, AN
FINK, J,HORN, S
FINK, J,ZAMBONI, R
FINK, J,TALIANI, C
FINK, J,PICHLER, T
FINK, J,MURGIA, M
FINK, J,MICHEL, RH
FINK, J,BORISENKO, SV
FINK, J,LEGNER, S
FINK, J,DUERR, C
FINK, J,ABELL, S
FINK, J,JANOWITZ, C
FINK, J,ATZKERN, S
FINK, J,KLEMM, M
MA, M,HO, T
MA, M,LI, YQ
MA, M,SHI, DN
MA, M,JOSHI, A
HONECKER, A,PUJOL, P
HONECKER, A,MUSSARDO, G
